full_text,text_cleaned_initial,text_no_emojis,text_casefolded,text_slang_fixed,text_tokenized,text_stopwords_removed
@rizkidwika Kasian Buto Ijo dikibulin dijorokin ke selokan sekarang beliau #KaburAjaDulu ke US kerja sampingan jd Avenger.,Kasian Buto Ijo dikibulin dijorokin ke selokan sekarang beliau  ke US kerja sampingan jd Avenger,Kasian Buto Ijo dikibulin dijorokin ke selokan sekarang beliau  ke US kerja sampingan jd Avenger,kasian buto ijo dikibulin dijorokin ke selokan sekarang beliau  ke us kerja sampingan jd avenger,kasian buto ijo dikibulin dijorokin ke selokan sekarang beliau ke us kerja sampingan jadi avenger,"['kasian', 'buto', 'ijo', 'dikibulin', 'dijorokin', 'ke', 'selokan', 'sekarang', 'beliau', 'ke', 'us', 'kerja', 'sampingan', 'jadi', 'avenger']","['kasian', 'buto', 'ijo', 'dikibulin', 'dijorokin', 'selokan', 'beliau', 'us', 'kerja', 'sampingan', 'avenger']"
Americans discovering hashtag kaburajadulu,Americans discovering hashtag kaburajadulu,Americans discovering hashtag kaburajadulu,americans discovering hashtag kaburajadulu,americans discovering hashtag kaburajadulu,"['americans', 'discovering', 'hashtag', 'kaburajadulu']","['americans', 'discovering', 'hashtag', 'kaburajadulu']"
@nawaitesnotna Pindah negara yuukkk #KaburAjaDulu ,Pindah negara yuukkk,Pindah negara yuukkk,pindah negara yuukkk,pindah negara yuukkk,"['pindah', 'negara', 'yuukkk']","['pindah', 'negara', 'yuukkk']"
Mau bikin konten Alhamdulillah #KaburAjaDulu tapi masih sengsara disini daripada di indo wkwkwkwk https://t.co/tPZ3nPovDC,Mau bikin konten Alhamdulillah  tapi masih sengsara disini daripada di indo wkwkwkwk,Mau bikin konten Alhamdulillah  tapi masih sengsara disini daripada di indo wkwkwkwk,mau bikin konten alhamdulillah  tapi masih sengsara disini daripada di indo wkwkwkwk,mau bikin konten alhamdulillah tapi masih sengsara disini daripada di indonesia wkwkwkwk,"['mau', 'bikin', 'konten', 'alhamdulillah', 'tapi', 'masih', 'sengsara', 'disini', 'daripada', 'di', 'indonesia', 'wkwkwkwk']","['bikin', 'konten', 'alhamdulillah', 'sengsara', 'indonesia', 'wkwkwkwk']"
hampir 2 tahun ngumpulin nya loh makasih bansos #TerimaKasihOrangBaik #KaburAjaDulu,hampir  tahun ngumpulin nya loh makasih bansos,hampir  tahun ngumpulin nya loh makasih bansos,hampir  tahun ngumpulin nya loh makasih bansos,hampir tahun ngumpulin nya loh terima kasih bansos,"['hampir', 'tahun', 'ngumpulin', 'nya', 'loh', 'terima', 'kasih', 'bansos']","['ngumpulin', 'terima', 'kasih', 'bansos']"
#kaburAjaDulu masih berlaku nggak sih? Jujur ayahku dulu jauh2 dari Inggris untuk menikahi wanita Indonesia terus lahir aku tapi setelah aku dewasa malah ingin ninggalin Indonesia ya tau sendiri kan alasannya?...... https://t.co/dQeNVydc9v,masih berlaku nggak sih Jujur ayahku dulu jauh dari Inggris untuk menikahi wanita Indonesia terus lahir aku tapi setelah aku dewasa malah ingin ninggalin Indonesia ya tau sendiri kan alasannya,masih berlaku nggak sih Jujur ayahku dulu jauh dari Inggris untuk menikahi wanita Indonesia terus lahir aku tapi setelah aku dewasa malah ingin ninggalin Indonesia ya tau sendiri kan alasannya,masih berlaku nggak sih jujur ayahku dulu jauh dari inggris untuk menikahi wanita indonesia terus lahir aku tapi setelah aku dewasa malah ingin ninggalin indonesia ya tau sendiri kan alasannya,masih berlaku tidak sih jujur ayahku dulu jauh dari inggris untuk menikahi wanita indonesia terus lahir aku tapi setelah aku dewasa bahkan ingin ninggalin indonesia iya tahu sendiri kan alasannya,"['masih', 'berlaku', 'tidak', 'sih', 'jujur', 'ayahku', 'dulu', 'jauh', 'dari', 'inggris', 'untuk', 'menikahi', 'wanita', 'indonesia', 'terus', 'lahir', 'aku', 'tapi', 'setelah', 'aku', 'dewasa', 'bahkan', 'ingin', 'ninggalin', 'indonesia', 'iya', 'tahu', 'sendiri', 'kan', 'alasannya']","['berlaku', 'jujur', 'ayahku', 'inggris', 'menikahi', 'wanita', 'indonesia', 'lahir', 'dewasa', 'ninggalin', 'indonesia', 'alasannya']"
@Franken_blues @prabowo Bukti bahwa #KaburAjaDulu dari dulu ada.. kalau kehidupan di negara sendiri tidak menjanjikan apa-apa.,blues  Bukti bahwa  dari dulu ada kalau kehidupan di negara sendiri tidak menjanjikan apaapa,blues  Bukti bahwa  dari dulu ada kalau kehidupan di negara sendiri tidak menjanjikan apaapa,blues  bukti bahwa  dari dulu ada kalau kehidupan di negara sendiri tidak menjanjikan apaapa,blues bukti bahwa dari dulu ada kalau kehidupan di negara sendiri tidak menjanjikan apaapa,"['blues', 'bukti', 'bahwa', 'dari', 'dulu', 'ada', 'kalau', 'kehidupan', 'di', 'negara', 'sendiri', 'tidak', 'menjanjikan', 'apaapa']","['blues', 'bukti', 'kehidupan', 'negara', 'menjanjikan', 'apaapa']"
Balas Trump China Terapkan Tarif 125% untuk Barang dari AS #balesINTAN #Jokowi #moqeelatagzeps134 #China #SpOp #Pagiii #Jokowi #TolakRevisiUUTNI #TolakRevisiUUTNI #Prabowo #Indonesia #IndonesiaGelap #KaburAjaDulu #kaburduluaja #TolakRevisiUUTNI #Trump #China #taemin #Gura https://t.co/7oOVXhP6K7,Balas Trump China Terapkan Tarif  untuk Barang dari AS,Balas Trump China Terapkan Tarif  untuk Barang dari AS,balas trump china terapkan tarif  untuk barang dari as,balas trump china terapkan tarif untuk barang dari as,"['balas', 'trump', 'china', 'terapkan', 'tarif', 'untuk', 'barang', 'dari', 'as']","['balas', 'trump', 'china', 'terapkan', 'tarif', 'barang']"
Kemenhan: Kabar penggunaan pangkalan militer RI oleh Rusia tidak benar #balesINTAN #Jokowi #moqeelatagzeps134 #China #SpOp #Pagiii #Abidzar #Jokowi #TolakRevisiUUTNI #TolakRevisiUUTNI #Prabowo #Indonesia #IndonesiaGelap #KaburAjaDulu #kaburduluaja #TolakRevisiUUTNI #Trump #China https://t.co/0XMXEFffPm,Kemenhan Kabar penggunaan pangkalan militer RI oleh Rusia tidak benar,Kemenhan Kabar penggunaan pangkalan militer RI oleh Rusia tidak benar,kemenhan kabar penggunaan pangkalan militer ri oleh rusia tidak benar,kemenhan kabar penggunaan pangkalan militer ri oleh rusia tidak benar,"['kemenhan', 'kabar', 'penggunaan', 'pangkalan', 'militer', 'ri', 'oleh', 'rusia', 'tidak', 'benar']","['kemenhan', 'kabar', 'penggunaan', 'pangkalan', 'militer', 'ri', 'rusia']"
Punya rencana lanjut studi &amp; #kaburajadulu di tahun ini?️ Coba apply 4 beasiswa internasional ini yang gak wajib pulang ke Indonesia ini deh Ada beasiswa incaranmu gak? https://t.co/x5voXUdMEx,Punya rencana lanjut studi amp  di tahun ini Coba apply  beasiswa internasional ini yang gak wajib pulang ke Indonesia ini deh Ada beasiswa incaranmu gak,Punya rencana lanjut studi amp  di tahun ini Coba apply  beasiswa internasional ini yang gak wajib pulang ke Indonesia ini deh Ada beasiswa incaranmu gak,punya rencana lanjut studi amp  di tahun ini coba apply  beasiswa internasional ini yang gak wajib pulang ke indonesia ini deh ada beasiswa incaranmu gak,punya rencana lanjut studi amp di tahun ini coba apply beasiswa internasional ini yang gak wajib pulang ke indonesia ini deh ada beasiswa incaranmu gak,"['punya', 'rencana', 'lanjut', 'studi', 'amp', 'di', 'tahun', 'ini', 'coba', 'apply', 'beasiswa', 'internasional', 'ini', 'yang', 'gak', 'wajib', 'pulang', 'ke', 'indonesia', 'ini', 'deh', 'ada', 'beasiswa', 'incaranmu', 'gak']","['rencana', 'studi', 'amp', 'coba', 'apply', 'beasiswa', 'internasional', 'wajib', 'pulang', 'indonesia', 'deh', 'beasiswa', 'incaranmu']"
@k_junico @zakwanoe Makanya kadang pengen blg ke yg demo untuk pasrah dan sudahi saja. Yg tajir2 mending bantu yg susah untuk #KaburAjaDulu. Sisanya yg aneh2 ini mah emg pantes dapet presiden kek wo2.,junico  Makanya kadang pengen blg ke yg demo untuk pasrah dan sudahi saja Yg tajir mending bantu yg susah untuk  Sisanya yg aneh ini mah emg pantes dapet presiden kek wo,junico  Makanya kadang pengen blg ke yg demo untuk pasrah dan sudahi saja Yg tajir mending bantu yg susah untuk  Sisanya yg aneh ini mah emg pantes dapet presiden kek wo,junico  makanya kadang pengen blg ke yg demo untuk pasrah dan sudahi saja yg tajir mending bantu yg susah untuk  sisanya yg aneh ini mah emg pantes dapet presiden kek wo,junico makanya kadang pengen bilang ke yang demo untuk pasrah dan sudahi saja yang kaya lebih baik bantu yang susah untuk sisanya yang aneh ini mah emg pantes dapat presiden seperti wo,"['junico', 'makanya', 'kadang', 'pengen', 'bilang', 'ke', 'yang', 'demo', 'untuk', 'pasrah', 'dan', 'sudahi', 'saja', 'yang', 'kaya', 'lebih', 'baik', 'bantu', 'yang', 'susah', 'untuk', 'sisanya', 'yang', 'aneh', 'ini', 'mah', 'emg', 'pantes', 'dapat', 'presiden', 'seperti', 'wo']","['junico', 'kadang', 'pengen', 'bilang', 'demo', 'pasrah', 'sudahi', 'kaya', 'bantu', 'susah', 'sisanya', 'aneh', 'mah', 'emg', 'pantes', 'presiden', 'wo']"
Aku komen di konten yg #KaburAjaDulu dikomenin gini. Katanya cuma orang susah yg nyalahin pemerintah dan keadaan pengen ngakak ajalah. Pdhl ekonomi sebuah negara itu ya dipengaruhi oleh pemerintahan/ pemimpin gimana. Tp udahlh aku mau diem aja biar gk diomongi orang susah lg https://t.co/9O9VKxQKWC,Aku komen di konten yg  dikomenin gini Katanya cuma orang susah yg nyalahin pemerintah dan keadaan pengen ngakak ajalah Pdhl ekonomi sebuah negara itu ya dipengaruhi oleh pemerintahan pemimpin gimana Tp udahlh aku mau diem aja biar gk diomongi orang susah lg,Aku komen di konten yg  dikomenin gini Katanya cuma orang susah yg nyalahin pemerintah dan keadaan pengen ngakak ajalah Pdhl ekonomi sebuah negara itu ya dipengaruhi oleh pemerintahan pemimpin gimana Tp udahlh aku mau diem aja biar gk diomongi orang susah lg,aku komen di konten yg  dikomenin gini katanya cuma orang susah yg nyalahin pemerintah dan keadaan pengen ngakak ajalah pdhl ekonomi sebuah negara itu ya dipengaruhi oleh pemerintahan pemimpin gimana tp udahlh aku mau diem aja biar gk diomongi orang susah lg,aku komen di konten yang dikomenin gini katanya cuma orang susah yang nyalahin pemerintah dan keadaan pengen tertawa ajalah pdhl ekonomi sebuah negara itu iya dipengaruhi oleh pemerintahan pemimpin bagaimana tapi udahlh aku mau diem saja biar gk diomongi orang susah lagi,"['aku', 'komen', 'di', 'konten', 'yang', 'dikomenin', 'gini', 'katanya', 'cuma', 'orang', 'susah', 'yang', 'nyalahin', 'pemerintah', 'dan', 'keadaan', 'pengen', 'tertawa', 'ajalah', 'pdhl', 'ekonomi', 'sebuah', 'negara', 'itu', 'iya', 'dipengaruhi', 'oleh', 'pemerintahan', 'pemimpin', 'bagaimana', 'tapi', 'udahlh', 'aku', 'mau', 'diem', 'saja', 'biar', 'gk', 'diomongi', 'orang', 'susah', 'lagi']","['komen', 'konten', 'dikomenin', 'gini', 'orang', 'susah', 'nyalahin', 'pemerintah', 'pengen', 'tertawa', 'ajalah', 'pdhl', 'ekonomi', 'negara', 'dipengaruhi', 'pemerintahan', 'pemimpin', 'udahlh', 'diem', 'biar', 'gk', 'diomongi', 'orang', 'susah']"
@zxnnm7rs skrg gw nyari yg bule biar 5 tahun lg bisa ngikut #kaburajadulu,skrg gw nyari yg bule biar  tahun lg bisa ngikut,skrg gw nyari yg bule biar  tahun lg bisa ngikut,skrg gw nyari yg bule biar  tahun lg bisa ngikut,skrg saya mencari yang bule biar tahun lagi bisa ikut,"['skrg', 'saya', 'mencari', 'yang', 'bule', 'biar', 'tahun', 'lagi', 'bisa', 'ikut']","['skrg', 'mencari', 'bule', 'biar']"
Mau ikut tren #KaburAjaDulu tp sy pns pemda ,Mau ikut tren  tp sy pns pemda,Mau ikut tren  tp sy pns pemda,mau ikut tren  tp sy pns pemda,mau ikut trend tapi saya pns pemerintah daerah,"['mau', 'ikut', 'trend', 'tapi', 'saya', 'pns', 'pemerintah', 'daerah']","['trend', 'pns', 'pemerintah', 'daerah']"
 Kabur bukan solusi kalau kamu belum siap. Dunia luar menantang tapi dengan bekal yang tepat kamu bisa menaklukkannya. Ikram Academy hadir untuk membekali kamu dengan keterampilan dan mindset yang dibutuhkan #KaburAjaDulu Siapkan dirimu dulu! ​ #ikramacademyid #upgradeskillmu https://t.co/rBUwGjCkNT,Kabur bukan solusi kalau kamu belum siap Dunia luar menantang tapi dengan bekal yang tepat kamu bisa menaklukkannya Ikram Academy hadir untuk membekali kamu dengan keterampilan dan mindset yang dibutuhkan  Siapkan dirimu dulu,Kabur bukan solusi kalau kamu belum siap Dunia luar menantang tapi dengan bekal yang tepat kamu bisa menaklukkannya Ikram Academy hadir untuk membekali kamu dengan keterampilan dan mindset yang dibutuhkan  Siapkan dirimu dulu,kabur bukan solusi kalau kamu belum siap dunia luar menantang tapi dengan bekal yang tepat kamu bisa menaklukkannya ikram academy hadir untuk membekali kamu dengan keterampilan dan mindset yang dibutuhkan  siapkan dirimu dulu,kabur bukan solusi kalau kamu belum siap dunia luar menantang tapi dengan bekal yang tepat kamu bisa menaklukkannya ikram academy hadir untuk membekali kamu dengan keterampilan dan mindset yang dibutuhkan siapkan dirimu dulu,"['kabur', 'bukan', 'solusi', 'kalau', 'kamu', 'belum', 'siap', 'dunia', 'luar', 'menantang', 'tapi', 'dengan', 'bekal', 'yang', 'tepat', 'kamu', 'bisa', 'menaklukkannya', 'ikram', 'academy', 'hadir', 'untuk', 'membekali', 'kamu', 'dengan', 'keterampilan', 'dan', 'mindset', 'yang', 'dibutuhkan', 'siapkan', 'dirimu', 'dulu']","['kabur', 'solusi', 'dunia', 'menantang', 'bekal', 'menaklukkannya', 'ikram', 'academy', 'hadir', 'membekali', 'keterampilan', 'mindset', 'dibutuhkan', 'siapkan', 'dirimu']"
@kucinglembang Tung tung sahur #.kaburajadulu #.diaspora_mendunia,Tung tung sahur kaburajadulu diasporamendunia,Tung tung sahur kaburajadulu diasporamendunia,tung tung sahur kaburajadulu diasporamendunia,tung tung sahur kaburajadulu diasporamendunia,"['tung', 'tung', 'sahur', 'kaburajadulu', 'diasporamendunia']","['tung', 'tung', 'sahur', 'kaburajadulu', 'diasporamendunia']"
Halo temen-temen disini adakah dari kalian yang Gen Z dan kemarin sempat atau mungkin aktif gunain hashtag #KaburAjaDulu ?,Halo tementemen disini adakah dari kalian yang Gen Z dan kemarin sempat atau mungkin aktif gunain hashtag,Halo tementemen disini adakah dari kalian yang Gen Z dan kemarin sempat atau mungkin aktif gunain hashtag,halo tementemen disini adakah dari kalian yang gen z dan kemarin sempat atau mungkin aktif gunain hashtag,halo tementemen disini adakah dari kalian yang gen z dan kemarin sempat atau mungkin aktif gunain hashtag,"['halo', 'tementemen', 'disini', 'adakah', 'dari', 'kalian', 'yang', 'gen', 'z', 'dan', 'kemarin', 'sempat', 'atau', 'mungkin', 'aktif', 'gunain', 'hashtag']","['halo', 'tementemen', 'adakah', 'gen', 'z', 'kemarin', 'aktif', 'gunain', 'hashtag']"
Adakah Gen Z disini yang kemarin aktif/sempat menyuarakan #KaburAjaDulu ?,Adakah Gen Z disini yang kemarin aktifsempat menyuarakan,Adakah Gen Z disini yang kemarin aktifsempat menyuarakan,adakah gen z disini yang kemarin aktifsempat menyuarakan,adakah gen z disini yang kemarin aktifsempat menyuarakan,"['adakah', 'gen', 'z', 'disini', 'yang', 'kemarin', 'aktifsempat', 'menyuarakan']","['adakah', 'gen', 'z', 'kemarin', 'aktifsempat', 'menyuarakan']"
@Matahari_tmr Itu versi ortunya niih versi anak &amp; guru sekolahnya. Wes mbuh mumet lah. Model2 pendidikan &amp; lingkungan spt ini pas ut lakuin #KaburAjaDulu https://t.co/5pDzMPvS1T,tmr Itu versi ortunya niih versi anak amp guru sekolahnya Wes mbuh mumet lah Model pendidikan amp lingkungan spt ini pas ut lakuin,tmr Itu versi ortunya niih versi anak amp guru sekolahnya Wes mbuh mumet lah Model pendidikan amp lingkungan spt ini pas ut lakuin,tmr itu versi ortunya niih versi anak amp guru sekolahnya wes mbuh mumet lah model pendidikan amp lingkungan spt ini pas ut lakuin,tmr itu versi ortunya niih versi anak amp guru sekolahnya wes mbuh pusing lah model pendidikan amp lingkungan seperti ini pas ut lakuin,"['tmr', 'itu', 'versi', 'ortunya', 'niih', 'versi', 'anak', 'amp', 'guru', 'sekolahnya', 'wes', 'mbuh', 'pusing', 'lah', 'model', 'pendidikan', 'amp', 'lingkungan', 'seperti', 'ini', 'pas', 'ut', 'lakuin']","['tmr', 'versi', 'ortunya', 'niih', 'versi', 'anak', 'amp', 'guru', 'sekolahnya', 'wes', 'mbuh', 'pusing', 'model', 'pendidikan', 'amp', 'lingkungan', 'pas', 'ut', 'lakuin']"
@kucinglembang tung tung tung sahur #kaburajadulu,tung tung tung sahur,tung tung tung sahur,tung tung tung sahur,tung tung tung sahur,"['tung', 'tung', 'tung', 'sahur']","['tung', 'tung', 'tung', 'sahur']"
@ketiksatuu #KaburAjaDulu-nya ke mana?,nya ke mana,nya ke mana,nya ke mana,nya ke mana,"['nya', 'ke', 'mana']",[]
Mengingat to 15 membuat gw berpikir apa emang harusnya gw #kaburajadulu https://t.co/84yRq2bkZ5,Mengingat to  membuat gw berpikir apa emang harusnya gw,Mengingat to  membuat gw berpikir apa emang harusnya gw,mengingat to  membuat gw berpikir apa emang harusnya gw,mengingat to membuat saya berpikir apa emang harusnya saya,"['mengingat', 'to', 'membuat', 'saya', 'berpikir', 'apa', 'emang', 'harusnya', 'saya']","['berpikir', 'emang']"
@athenaallende Langkah awal menuju #kaburajadulu,Langkah awal menuju,Langkah awal menuju,langkah awal menuju,langkah awal menuju,"['langkah', 'awal', 'menuju']",['langkah']
ITU SUCIPTO SAMA TUNG TUNG SAHUR LAGI #KaburAjaDulu YAA,ITU SUCIPTO SAMA TUNG TUNG SAHUR LAGI  YAA,ITU SUCIPTO SAMA TUNG TUNG SAHUR LAGI  YAA,itu sucipto sama tung tung sahur lagi  yaa,itu sucipto sama tung tung sahur lagi yaa,"['itu', 'sucipto', 'sama', 'tung', 'tung', 'sahur', 'lagi', 'yaa']","['sucipto', 'tung', 'tung', 'sahur']"
@lshiqami @zacharwy dia lqgi kaburajadulu kayaknya,dia lqgi kaburajadulu kayaknya,dia lqgi kaburajadulu kayaknya,dia lqgi kaburajadulu kayaknya,dia lqgi kaburajadulu kayaknya,"['dia', 'lqgi', 'kaburajadulu', 'kayaknya']","['lqgi', 'kaburajadulu', 'kayaknya']"
dibilang #kaburajadulu,dibilang,dibilang,dibilang,dibilang,['dibilang'],['dibilang']
@RaymondJP @blue_blazi32 @calonsupirerbas tapi kebetulan aja mereka dapet status kwn yg ngepas sama momen tagar #KaburAjaDulu,blazi  tapi kebetulan aja mereka dapet status kwn yg ngepas sama momen tagar,blazi  tapi kebetulan aja mereka dapet status kwn yg ngepas sama momen tagar,blazi  tapi kebetulan aja mereka dapet status kwn yg ngepas sama momen tagar,blazi tapi kebetulan saja mereka dapat status kwn yang ngepas sama momen tagar,"['blazi', 'tapi', 'kebetulan', 'saja', 'mereka', 'dapat', 'status', 'kwn', 'yang', 'ngepas', 'sama', 'momen', 'tagar']","['blazi', 'status', 'kwn', 'ngepas', 'momen', 'tagar']"
@Tita83079013 @prabowo mumpunp di dalam negeri juga masa sulit mending berangkat ke Israel. #kaburajadulu,mumpunp di dalam negeri juga masa sulit mending berangkat ke Israel,mumpunp di dalam negeri juga masa sulit mending berangkat ke Israel,mumpunp di dalam negeri juga masa sulit mending berangkat ke israel,mumpunp di dalam negeri juga masa sulit lebih baik berangkat ke israel,"['mumpunp', 'di', 'dalam', 'negeri', 'juga', 'masa', 'sulit', 'lebih', 'baik', 'berangkat', 'ke', 'israel']","['mumpunp', 'negeri', 'sulit', 'berangkat', 'israel']"
@icarushen Gua rasa Koko yang satu itu habis denger lu ngomong begini udah menyusun agenda #KaburAjaDulu. SEMBARANGAN LU. Gitu-gitu dapetinnya susah!,Gua rasa Koko yang satu itu habis denger lu ngomong begini udah menyusun agenda  SEMBARANGAN LU Gitugitu dapetinnya susah,Gua rasa Koko yang satu itu habis denger lu ngomong begini udah menyusun agenda  SEMBARANGAN LU Gitugitu dapetinnya susah,gua rasa koko yang satu itu habis denger lu ngomong begini udah menyusun agenda  sembarangan lu gitugitu dapetinnya susah,saya rasa koko yang satu itu habis denger kamu bicara begini sudah menyusun agenda sembarangan kamu gitugitu dapetinnya susah,"['saya', 'rasa', 'koko', 'yang', 'satu', 'itu', 'habis', 'denger', 'kamu', 'bicara', 'begini', 'sudah', 'menyusun', 'agenda', 'sembarangan', 'kamu', 'gitugitu', 'dapetinnya', 'susah']","['koko', 'habis', 'denger', 'bicara', 'menyusun', 'agenda', 'sembarangan', 'gitugitu', 'dapetinnya', 'susah']"
klonrame nanti gw post full chat ama ai bestie ku dan gw se7 sih intinya teknologi muncul karna ada facility kek zoom meet remoting iot gitu gitu klo g ada internet duluan kt g bakal mikir kerja online kek gini dan gw nuntut bgt 5G love gpt bgt #ChatGPT #AI #KaburAjaDulu,klonrame nanti gw post full chat ama ai bestie ku dan gw se sih intinya teknologi muncul karna ada facility kek zoom meet remoting iot gitu gitu klo g ada internet duluan kt g bakal mikir kerja online kek gini dan gw nuntut bgt G love gpt bgt,klonrame nanti gw post full chat ama ai bestie ku dan gw se sih intinya teknologi muncul karna ada facility kek zoom meet remoting iot gitu gitu klo g ada internet duluan kt g bakal mikir kerja online kek gini dan gw nuntut bgt G love gpt bgt,klonrame nanti gw post full chat ama ai bestie ku dan gw se sih intinya teknologi muncul karna ada facility kek zoom meet remoting iot gitu gitu klo g ada internet duluan kt g bakal mikir kerja online kek gini dan gw nuntut bgt g love gpt bgt,klonrame nanti saya post full chat sama ai bestie ku dan saya se sih intinya teknologi muncul karena ada facility seperti zoom meet remoting iot gitu gitu kalau g ada internet duluan kita g bakal mikir kerja online seperti gini dan saya nuntut banget g love gpt banget,"['klonrame', 'nanti', 'saya', 'post', 'full', 'chat', 'sama', 'ai', 'bestie', 'ku', 'dan', 'saya', 'se', 'sih', 'intinya', 'teknologi', 'muncul', 'karena', 'ada', 'facility', 'seperti', 'zoom', 'meet', 'remoting', 'iot', 'gitu', 'gitu', 'kalau', 'g', 'ada', 'internet', 'duluan', 'kita', 'g', 'bakal', 'mikir', 'kerja', 'online', 'seperti', 'gini', 'dan', 'saya', 'nuntut', 'banget', 'g', 'love', 'gpt', 'banget']","['klonrame', 'post', 'full', 'chat', 'ai', 'bestie', 'intinya', 'teknologi', 'muncul', 'facility', 'zoom', 'meet', 'remoting', 'iot', 'gitu', 'gitu', 'g', 'internet', 'duluan', 'g', 'mikir', 'kerja', 'online', 'gini', 'nuntut', 'banget', 'g', 'love', 'gpt', 'banget']"
Gabut malem jadi mikir kritis soal 5G di indo jujur aja ini gw jadi bahas ama gpt dan ni salah satu alesan kenapa gw pro AI but GPT PUN BEROPINI 5G di indo diremeh bgt kt puas ama akses bkn quality justru krn kt blum dikasih ngerasa ga butuh full⬇️ #kominfo #kaburajadulu https://t.co/FOP42t9o4V,Gabut malem jadi mikir kritis soal G di indo jujur aja ini gw jadi bahas ama gpt dan ni salah satu alesan kenapa gw pro AI but GPT PUN BEROPINI G di indo diremeh bgt kt puas ama akses bkn quality justru krn kt blum dikasih ngerasa ga butuh full,Gabut malem jadi mikir kritis soal G di indo jujur aja ini gw jadi bahas ama gpt dan ni salah satu alesan kenapa gw pro AI but GPT PUN BEROPINI G di indo diremeh bgt kt puas ama akses bkn quality justru krn kt blum dikasih ngerasa ga butuh full,gabut malem jadi mikir kritis soal g di indo jujur aja ini gw jadi bahas ama gpt dan ni salah satu alesan kenapa gw pro ai but gpt pun beropini g di indo diremeh bgt kt puas ama akses bkn quality justru krn kt blum dikasih ngerasa ga butuh full,gabut malam jadi mikir kritis soal g di indonesia jujur saja ini saya jadi bahas sama gpt dan ini salah satu alesan kenapa saya profesional ai but gpt pun beropini g di indonesia diremeh banget kita puas sama akses bukan quality justru karena kita belum dikasih ngerasa ga butuh full,"['gabut', 'malam', 'jadi', 'mikir', 'kritis', 'soal', 'g', 'di', 'indonesia', 'jujur', 'saja', 'ini', 'saya', 'jadi', 'bahas', 'sama', 'gpt', 'dan', 'ini', 'salah', 'satu', 'alesan', 'kenapa', 'saya', 'profesional', 'ai', 'but', 'gpt', 'pun', 'beropini', 'g', 'di', 'indonesia', 'diremeh', 'banget', 'kita', 'puas', 'sama', 'akses', 'bukan', 'quality', 'justru', 'karena', 'kita', 'belum', 'dikasih', 'ngerasa', 'ga', 'butuh', 'full']","['gabut', 'malam', 'mikir', 'kritis', 'g', 'indonesia', 'jujur', 'bahas', 'gpt', 'salah', 'alesan', 'profesional', 'ai', 'gpt', 'beropini', 'g', 'indonesia', 'diremeh', 'banget', 'puas', 'akses', 'quality', 'dikasih', 'ngerasa', 'butuh', 'full']"
@dinyarsa24 Ikut kak sekalian bisa #kaburajadulu ke Korea ,Ikut kak sekalian bisa  ke Korea,Ikut kak sekalian bisa  ke Korea,ikut kak sekalian bisa  ke korea,ikut kak sekalian bisa ke korea,"['ikut', 'kak', 'sekalian', 'bisa', 'ke', 'korea']","['kak', 'korea']"
@txtfromkeuangan Termasuk transportasi jadi yg single mau #kaburajadulu ? Oh tidak bisa....jadi solusi finalnya ya jadi single dianggap pesakitan dan musuh masyarakat,Termasuk transportasi jadi yg single mau   Oh tidak bisajadi solusi finalnya ya jadi single dianggap pesakitan dan musuh masyarakat,Termasuk transportasi jadi yg single mau   Oh tidak bisajadi solusi finalnya ya jadi single dianggap pesakitan dan musuh masyarakat,termasuk transportasi jadi yg single mau   oh tidak bisajadi solusi finalnya ya jadi single dianggap pesakitan dan musuh masyarakat,termasuk transportasi jadi yang single mau oh tidak bisajadi solusi finalnya iya jadi single dianggap pesakitan dan musuh masyarakat,"['termasuk', 'transportasi', 'jadi', 'yang', 'single', 'mau', 'oh', 'tidak', 'bisajadi', 'solusi', 'finalnya', 'iya', 'jadi', 'single', 'dianggap', 'pesakitan', 'dan', 'musuh', 'masyarakat']","['transportasi', 'single', 'oh', 'bisajadi', 'solusi', 'finalnya', 'single', 'dianggap', 'pesakitan', 'musuh', 'masyarakat']"
@calonsupirerbas kalau lu flexing prestasi masih gw tahan tapi kalau lu flexing pindah kewarganegaraan dan #KaburAjaDulu duluan itu agak kena di gw,kalau lu flexing prestasi masih gw tahan tapi kalau lu flexing pindah kewarganegaraan dan  duluan itu agak kena di gw,kalau lu flexing prestasi masih gw tahan tapi kalau lu flexing pindah kewarganegaraan dan  duluan itu agak kena di gw,kalau lu flexing prestasi masih gw tahan tapi kalau lu flexing pindah kewarganegaraan dan  duluan itu agak kena di gw,kalau kamu flexing prestasi masih saya tahan tapi kalau kamu flexing pindah kewarganegaraan dan duluan itu agak kena di saya,"['kalau', 'kamu', 'flexing', 'prestasi', 'masih', 'saya', 'tahan', 'tapi', 'kalau', 'kamu', 'flexing', 'pindah', 'kewarganegaraan', 'dan', 'duluan', 'itu', 'agak', 'kena', 'di', 'saya']","['flexing', 'prestasi', 'tahan', 'flexing', 'pindah', 'kewarganegaraan', 'duluan', 'kena']"
